Title,PID,file,First-broadcast,Presenter,Production,Producer,Description,Archive-details
99 Words - Episode 1,b0183h37,TRUE,11/12/2011,Liz Gray,Falling Tree,Alan Hall,"When Liz Gray found herself limited, forced into a strange period of enforced retreat by a whiplash injury the following question came to her mind: if you had breath for no more than 99 words, what would they be?<br/><br/>She began asking friends, colleagues, artists and political figures she admired, gathering together a collection of 99 responses.<br/><br/>In the first of a pair of programmes, she describes the genesis of her '99 Words' project and introduces contributions from, among others, Jeanette Winterson, Robert Wyatt, Scilla Elworthy and Diana Athill.",
99 Words - Episode 2,b01886zz,TRUE,18/12/2011,Liz Gray,Falling Tree,Alan Hall,"When Liz Gray found herself forced into a strange period of enforced retreat by a whiplash injury, the following question came to her mind: if you had breath for no more than 99 words, what would they be?<br/><br/>She began asking friends, colleagues, artists and political figures she admired, gathering together a collection of 99 responses.<br/><br/>In the second of a pair of programmes, she introduces contributions from, among others, the artist Keith Critchlow, the human rights campaigner Helen Bamber, the writer Ariel Dorfman and film maker Sally Potter.",
A Cloud of Unknowing,,,3/8/2003,Mark Tully,Loftus,Nigel Acheson,Mark Tully considers the way clouds affect our lives - from mirrors of mood to harbingers of life itself.,
A friend in need,b009pg30,,6/4/2008,Adjoa Andoh,,,Adjoa Andoh considers how the act of befriending someone in need can change lives.,
A Good Argument,b068s44f,TRUE,6/9/2015,Mark Tully,Unique,Frank Stirling,"The word ‘argument’ can have negative connotations. Yet argument is a mainstay of democratic life. Mark Tully talks to prominent QC Dinah Rose about the importance of legal argument and asks whether arguing is a skill that can be taught. He examines the positive side of disputing an issue, the benefits of debate and the healthy business of enjoying a good argument.<br/><br/>Here is argument in all its guises - philosophy with Schopenhauer, politics with Nixon, science with Huxley, poetry with Carl Sandburg and musical argument from battling drums to Leonard Bernstein.<br/><br/>The readers are Polly Frame, Peter Marinker and Francis Cadder.",
A Good Judge,b00l2z7l,,21/6/2009,Mark Tully,,,"Mark Tully explores how we judge another person's character. It has been estimated that up to a third of our judgments about other people's characters are wrong, yet many of us pride ourselves on being 'good judges' of character. On what clues do we base our assessments, why are we so often mistaken and can we learn to read the clues more accurately?",
A Guru Is for Life,b09cvwr3,TRUE,5/11/2017,Jahnavi Harrison,TBI,Max O'Brien,"Musician Jahnavi Harrison draws upon personal experiences to explore the role of the guru and argue that true gurus offer great benefits as we progress through our lives.<br/><br/>For millions of people in the East, having a guru is as common as having an on-going relationship with a doctor or a dentist. However, in the West, the word carries some heavy baggage, often linked to manipulative figures who exploit their disciples.<br/><br/>With help from the music of Abida Parveen and rock 'n' roll legend Johnny Rivers, Jahnavi reveals that a guru is meant to always remind you of who you really are, and what you were born to do. According to the teachings of the ancient Hindu texts the Vedas, the ultimate knowledge that gurus can offer is how to realise the nature of the self and attain a state of freedom and enlightenment.<br/><br/>According to Jahnavi, a true guru is humble, never thinking of themselves as a great teacher, but rather simply as a student of the gurus that went before them. Jahnavi explains, ""Every guru is meant to have a guru themselves, and in this way acts like the smallest lens of a telescope - which when stacked in line with the others, allows one to examine the wonders of the night sky up close and with sharp clarity."" In this way, the guru acts as a transparent medium for the teachings of their master, and all other masters before - all aiming to be of service in nurturing the disciples' relationship of love and service to God.",
A Joy Forever,b01pt87q,TRUE,13/1/2013,Elizabeth Adekunle,Loftus,Kim Normanton,"Rev Elizabeth Adekunle, chaplain of St. John's College, Cambridge, explores the idea of lasting beauty. A brief experience with modelling left her more aware of the limitations of physical beauty and surface glamour. Her work as a chaplain brings her into contact with some students who are troubled by body image.<br/><br/>She begins by looking at the commercial notion of beauty and refers back to Shakespeare in Sonnet 68 voicing his disapproval of beauty accessories such as wigs: ""the golden tresses of the dead"" and then laments the deception of what he calls ""false art"".<br/><br/>She asks what happens when physical beauty fades, and how it's possible to age gracefully. And she explores the idea of a beauty which comes not from a perfect body but from looking out of the window and inhaling the beauty in our surroundings - as expressed in Fleur Adcock's poem 'Weathering'.<br/><br/>Referring to St. Peter's words of wisdom ""Let your adornment be the inner self with the lasting beauty of a gentle and quiet sprit, which is very precious in God's sight"" (1 Peter 3:3-4), Elizabeth Adekunle then goes on to look at a more satisfying sense of beauty. It is the natural world which inspired the French composer Debussy ""to feel the supreme and moving beauty of the spectacle to which Nature invites her ephemeral guests this is what I call prayer"".<br/><br/>And finally she refers to an excerpt from Keats poem 'Endymion' in which he observes, ""in spite of all, some shape of beauty moves away the pall from our dark spirits."" And so Rev Elizabeth Adekunle concludes that true beauty - music, nature and art - can help us out of the shallow bleak world of consumer fashion and glamour and offer us a way to draw closer to the Divine.",
A Language That Speaks The Truth,b014m6qx,TRUE,18/9/2011,Studs Terkel,Falling Tree,Eleanor McDowall & Alan Hall,"Studs Terkel, the celebrated American broadcaster and oral historian, had, in his own words, a big mouth that regularly landed him in trouble. But he also passionately cared about politics, social justice, art and culture - and in particular, the way we use language to articulate our ideas about ourselves.<br/><br/>In this special edition of Something Understood, we hear Studs speaking shortly before his death in 2008 intertwined with readings from authors he knew and admired - among them, Bertrand Russell, Kathryn Simmonds and James Cameron - and music by those he held in highest esteem, including Mozart and Mahalia Jackson.<br/><br/>Readers: Emma Fielding and Jonathan Keeble",
A Matter of Class,,,21/4/2002,Pat Cumper,Loftus,Matt Thompson,"Pat Cumper was born in Jamaica. But when she emigrated to Britain she became 'invisible' and had to find her identity in unexpected places. With poems by Keats, Walcott and Breeze. Readers: Jean 'Binta' Breeze, Bert Caesar and John Lewes.",
